6,100,vs 3bet,LJ,HJ,Ao,R,R,C,C,C,F,F,F,F,R,R,F,F,,
,,,,,Ko,R,R,R,R,F,F,F,F,F,F,F,F,F,,
,,,,,Qo,F,F,R,F,F,F,F,F,F,F,F,F,F,,
,,,,,Jo,F,F,F,R,F,F,F,F,F,F,F,F,F,,
,,,,,To,F,F,F,F,C,F,F,F,F,F,F,F,F,,
,,,,,9o,F,F,F,F,F,C,F,F,F,F,F,F,F,,
,,,,,8o,F,F,F,F,F,F,C,F,F,F,F,F,F,,
,,,,,7o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,6o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,5o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,4o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,3o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,2o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,
6,100,vs 3bet,LJ,CO,Ao,R,R,C,C,C,F,F,F,F,R,R,F,F,,
,,,,,Ko,R,R,R,R,R,F,F,F,F,F,F,F,F,,
,,,,,Qo,F,F,R,F,F,F,F,F,F,F,F,F,F,,
,,,,,Jo,F,F,F,R,F,F,F,F,F,F,F,F,F,,
,,,,,To,F,F,F,F,C,F,F,F,F,F,F,F,F,,
,,,,,9o,F,F,F,F,F,C,F,F,F,F,F,F,F,,
,,,,,8o,F,F,F,F,F,F,C,F,F,F,F,F,F,,
,,,,,7o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,6o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,5o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,4o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,3o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,2o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,
6,100,vs 3bet,LJ,BTN,Ao,R,R,C,C,C,F,F,F,F,R,R,F,F,,
